Atomic Positions,Atomic Numbers,Unit Cell Parameters
"[['0.01856(4)', '0.0000', '0.1205(3)', '-0.0517(3)', '0.0938(2)', '0.1831(4)', '0.1171(3)', '-0.1069(2)', '-0.0867(3)', '-0.0506(2)', '-0.1051(3)', '-0.0872', '0.0954(2)', '-0.1486(3)', '-0.1586', '-0.1778(3)', '-0.2112', '-0.1579(3)', '-0.1776', '-0.1088(3)', '-0.0899(3)', '-0.0552(3)', '0.0031', '-0.1253', '-0.0415(3)', '-0.0686', '-0.0866', '0.0738(3)', '0.0773', '0.1199', '0.2161(3)', '0.2642(3)', '0.2023(3)', '0.2552(3)', '0.2139', '0.3656(3)', '0.3994', '0.4282(3)', '0.5048', '0.3771(3)', '0.4200', '-0.1155(4)', '-0.0669', '-0.1056', '-0.1906', '0.2879(3)', '0.2431', '0.3348', '0.3324', '0.2902(2)', '0.1699(2)', '0.1561(2)'], ['0.15163(4)', '0.0000', '-0.2364(4)', '0.1508(3)', '-0.1426(2)', '-0.3351(4)', '0.2962(3)', '0.2584(3)', '-0.0891(4)', '-0.0026(2)', '-0.2097(4)', '-0.2262', '0.1200(2)', '-0.3045(4)', '-0.3855', '-0.2816(4)', '-0.3453', '-0.1659(4)', '-0.1511', '-0.0678(4)', '0.0530(4)', '0.2729(4)', '0.2755', '0.2813', '0.3803(4)', '0.4576', '0.3647', '0.4018(4)', '0.4796', '0.4135', '0.3051(4)', '0.2118(3)', '0.1297(3)', '0.0603(3)', '0.0087', '0.0659(4)', '0.0187', '0.1398(4)', '0.1407', '0.2118(4)', '0.2639', '0.0651(4)', '0.1267', '-0.0162', '0.0926', '0.4130(4)', '0.4853', '0.4350', '0.3888', '-0.3123(3)', '-0.4504(2)', '-0.3380(2)'], ['0.18011(3)', '0.0000', '-0.0003(3)', '0.2926(2)', '0.04393(17)', '0.0602(3)', '0.2108(2)', '0.08110(17)', '0.1954(3)', '0.14464(17)', '0.1583(3)', '0.0996', '0.07411(17)', '0.2053(3)', '0.1793', '0.2906(3)', '0.3217', '0.3294(3)', '0.3878', '0.2853(3)', '0.3311(3)', '0.3396(3)', '0.3912', '0.3635', '0.2772(3)', '0.3032', '0.2189', '0.2601(3)', '0.2246', '0.3185', '0.1935(2)', '0.1375(2)', '0.0761(2)', '0.0148(3)', '-0.0284', '0.0163(3)', '-0.0262', '0.0792(3)', '0.0821', '0.1372(3)', '0.1791', '0.4271(3)', '0.4595', '0.4574', '0.4264', '0.2272(3)', '0.2384', '0.1819', '0.2834', '0.06875(18)', '0.02696(16)', '0.14343(15)']]","['Cu', 'Cu', 'C', 'N', 'O', 'C', 'N', 'O', 'C', 'O', 'C', 'H', 'O', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'C', 'C', 'H', 'H', 'C', 'H', 'H', 'C', 'H', 'H', 'C', 'C', 'C', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'H', 'H', 'C', 'H', 'H', 'H', 'F', 'F', 'F']","['12.4695(12)', '10.6836(9)', '14.9603(13)', '90.00', '97.393(5)', '90.00']"
"[['0.0000', '0.18158(11)', '0.46707(11)', '0.21006(12)', '-0.1451(2)', '0.3364(2)', '0.3694(2)', '0.2369(3)', '0.381(2)', '0.491(2)', '0.350(2)', '0.260(3)', '0.118(2)', '-0.124(2)', '-0.263(2)'], ['0.0000', '0.10560(9)', '0.20248(9)', '0.03241(9)', '0.17953(11)', '0.14075(12)', '0.1049(1)', '-0.0281(2)', '0.1856(13)', '0.0488(13)', '-0.094(2)', '0.034(2)', '-0.069(1)', '0.212(2)', '0.191(1)'], ['0.0000', '-0.11391(9)', '-0.08315(11)', '0.23273(10)', '0.0695(1)', '-0.0188(1)', '0.1852(2)', '0.4091(2)', '0.253(2)', '0.215(2)', '0.413(2)', '0.488(2)', '0.410(2)', '0.163(2)', '0.037(2)']]",,"['6.9861(2)', '10.2180(3)', '7.2517(2)', '90', '97.069(2)', '90']"
"[['0.33333', '0.66667', '0.00000'], ['0.66667', '0.33333', '0.00000'], ['0.04987(10)', '0.11287(6)', '0.00000']]","['Y', 'I', 'Ge']","['4.213504(9)', '4.213504(9)', '31.47964100(15)', '90.00000', '90.00000', '120.00000']"
"[['0.7505(3)', '0.8402', '0.7077(3)', '0.7617', '0.5708(3)', '0.5152', '0.5297(3)', '0.3980(3)', '0.3620(3)', '0.2149(3)', '0.1326', '0.2178(3)', '0.1371', '0.3671(3)', '0.4008', '0.2881(3)', '0.1910(4)', '0.1885', '0.0976(4)', '0.0313', '0.1047(4)', '0.0422', '0.2833(3)', '0.3454', '0.8216(3)', '0.8173', '0.8800(3)', '0.9204', '0.8657(3)', '0.8931', '0.8008(3)', '0.7808(3)', '0.7342(3)', '0.7233(3)', '0.7432', '0.6776(3)', '0.6609', '0.6609(3)', '0.6297', '0.8159(3)', '0.6889(4)', '0.5786', '0.7290(5)', '0.6456', '0.8913(4)', '0.9166', '0.9778(4)', '1.0636', '1.1145(3)', '1.1733', '1.1346', '1.1539', '0.9298(3)', '0.8108(3)', '0.6339(3)', '0.5213(3)', '0.4061', '0.5449', '0.5410', '0.8720(3)', '0.6444(2)', '0.4539(2)', '0.1953(3)', '0.7732(2)', '0.6958(2)', '1.0173(3)', '0.9198(3)', '0.8900(2)', '0.5615(2)', '0.66951(4)', '0.4609(9)', '0.3886', '0.3487(6)', '0.6314(3)', '0.5274(6)'], ['0.8233(3)', '0.7746', '0.9438(3)', '0.9876', '0.9844(3)', '1.0619', '0.8861(2)', '0.8837(2)', '0.7793(2)', '0.7562(3)', '0.8167', '0.6282(3)', '0.5843', '0.5760(3)', '0.4908', '0.9998(2)', '1.0159(3)', '0.9516', '1.1298(3)', '1.1433', '1.2222(3)', '1.2986', '1.0982(3)', '1.0862', '0.9247(2)', '0.9635', '1.0027(3)', '1.0992', '0.9091(3)', '0.9302', '0.7728(2)', '0.6438(3)', '0.5115(2)', '0.3750(3)', '0.3560', '0.2762(3)', '0.1776', '0.3536(2)', '0.3123', '0.6456(3)', '0.6133(4)', '0.5882', '0.6193(4)', '0.5998', '0.6538(3)', '0.6555', '0.6821(3)', '0.7055', '0.5235(3)', '0.6181', '0.4851', '0.4640', '0.5286(3)', '0.4307(3)', '0.4315(2)', '0.3331(3)', '0.3394', '0.2369', '0.3601', '0.3241(3)', '0.7878(2)', '0.6646(2)', '1.2091(2)', '0.7880(2)', '0.4946(2)', '0.6856(3)', '0.2363(3)', '0.62452(18)', '0.50829(17)', '0.64432(3)', '1.0466(15)', '1.1064', '0.9610(6)', '1.1572(3)', '0.9264(6)'], ['0.60077(12)', '0.5859', '0.57659(13)', '0.5434', '0.61141(13)', '0.6067', '0.65616(12)', '0.70144(12)', '0.74122(12)', '0.77908(13)', '0.7876', '0.80049(13)', '0.8257', '0.77690(12)', '0.7850', '0.70516(13)', '0.64999(15)', '0.6097', '0.65613(18)', '0.6200', '0.71649(17)', '0.7199', '0.76396(14)', '0.8015', '0.77123(12)', '0.7319', '0.83475(13)', '0.8445', '0.87920(13)', '0.9252', '0.84200(11)', '0.86495(12)', '0.82389(12)', '0.84339(13)', '0.8865', '0.78609(14)', '0.7829', '0.73344(13)', '0.6891', '0.93839(12)', '0.98119(15)', '0.9648', '1.04944(16)', '1.0795', '1.07111(14)', '1.1166', '0.96608(14)', '0.9377', '0.61620(13)', '0.6276', '0.5701', '0.6454', '0.62475(12)', '0.58205(12)', '0.58458(12)', '0.53200(13)', '0.5431', '0.5308', '0.4886', '0.53327(12)', '0.64826(10)', '0.74147(9)', '0.77017(13)', '0.77479(10)', '0.75504(10)', '1.03129(12)', '0.49515(13)', '0.67062(8)', '0.62989(8)', '0.703438(14)', '0.0097(8)', '0.0376', '-0.0597(2)', '-0.01346(13)', '0.0574(2)']]","['C', 'H', 'C', 'H', 'C', 'H', 'C', 'C', 'C', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'C', 'C', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'H', 'H', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'C', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'O', 'O', 'Co', 'C', 'H', 'Cl', 'Cl', 'Cl']","['8.0265(2)', '9.5883(2)', '20.0801(5)', '99.6540(10)', '90.6380(10)', '96.9870(10)']"
"[['0.12709(3)', '0.3871(9)', '0.3906', '-0.0782(7)', '-0.1555', '0.1658(7)', '0.2514', '0.2795(7)', '0.0476(8)', '0.1774(9)', '0.2810(8)', '-0.0919(7)', '0.2695(10)', '0.2662', '0.1791(8)', '0.1542(7)', '0.3760(9)', '0.0258(7)', '0.0185', '-0.0063(9)', '-0.0709', '0.4886(9)', '0.5619', '-0.0126(9)', '-0.0788', '0.4778(9)', '0.5390', '0.0789(10)', '0.0762', '0.3623(9)', '0.4176', '0.0618(7)', '0.0865(6)', '0.2861(6)', '-0.2120(5)', '0.3957(5)', '0.2587(5)', '0.1419(6)', '-0.0077(5)'], ['0.44071(3)', '0.5985(6)', '0.6082', '0.2430(5)', '0.2770', '0.2138(5)', '0.2279', '0.0939(6)', '0.2619(5)', '0.4481(7)', '0.5320(5)', '0.1732(5)', '0.4981(7)', '0.4867', '0.4683(6)', '0.1452(5)', '0.5769(6)', '0.1237(5)', '0.0752', '0.3688(6)', '0.3420', '0.6416(6)', '0.6745', '0.3434(6)', '0.2999', '0.6342(7)', '0.6677', '0.3826(7)', '0.3661', '0.5620(7)', '0.5965', '0.3368(5)', '0.4290(5)', '0.5447(4)', '0.1574(4)', '0.1161(4)', '0.0289(4)', '0.3209(4)', '0.4129(4)'], ['0.89738(3)', '0.8384(7)', '0.9148', '1.2326(6)', '1.2012', '1.2464(5)', '1.2243', '1.3851(5)', '1.1981(5)', '0.5067(6)', '0.6775(6)', '1.3144(5)', '0.4464(7)', '0.3703', '0.6216(6)', '1.3272(5)', '0.6128(7)', '1.3588(6)', '1.4108', '0.6321(6)', '0.6734', '0.7834(8)', '0.8230', '0.5207(7)', '0.4892', '0.6707(7)', '0.6318', '0.4583(7)', '0.3835', '0.4953(7)', '0.4521', '1.1109(6)', '0.6833(5)', '0.7881(5)', '1.3522(4)', '1.3603(4)', '1.4562(4)', '1.0393(4)', '1.1099(4)']]","['Gd', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'C', 'C', 'C', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'H', 'C', 'N', 'N', 'O', 'O', 'O', 'O', 'O']","['9.7723(6)', '13.8718(8)', '12.0958(7)', '90.00', '97.200(6)', '90.00']"
"[['0.32646(5)', '0.3747(2)', '0.8041(2)', '0.3154(5)', '0.3055(8)', '0.4303(7)', '0.4486(5)', '0.2801(5)', '0.4668(6)', '0.6862(6)', '0.7737(6)', '0.9283(7)', '0.8395(8)', '0.793(1)', '0.830(1)', '0.4037(3)', '0.2096(3)', '0.241(1)', '0.087(3)', '0.4292(3)', '0.7545(4)', '0.5867(4)', '0.6299(4)', '0.4555(4)', '1.0351(4)', '0.7403(4)', '0.7422(4)', '0.2165(4)', '-0.0250(6)', '0.226(1)', '-0.122(1)', '0.046(1)', '0.027(2)', '0.6325(4)', '0.9865(4)', '0.4847(5)', '0.5396(5)', '0.5392(4)', '0.4851(5)', '0.4328(5)', '0.7000(6)', '0.6588(5)', '0.6721(5)', '0.7284(5)', '0.7670(5)', '0.5288(5)', '0.6228(5)', '0.6414(5)', '0.5655(5)', '0.4765(5)', '0.9473(6)', '0.8504(6)', '0.8452(5)', '0.9358(6)', '1.0271(5)', '0.2563(5)', '0.1866(7)', '0.0730(6)', '0.0319(6)', '0.1040(5)', '0.182(1)', '0.117(1)', '0.101(2)', '0.143(1)', '0.2051(9)', '-0.123(1)', '-0.072(2)', '-0.027(2)', '-0.018(2)', '-0.074(1)', '0.7121(5)', '0.8275(5)', '0.8623(5)', '0.7837(5)', '0.6693(5)', '0.4857', '0.5776', '0.4834', '0.3975', '0.6894', '0.6219', '0.7402', '0.8052', '0.5156', '0.6737', '0.5749', '0.4265', '0.9503', '0.7891', '0.9353', '1.0891', '0.3354', '0.2165', '-0.0468', '0.0733', '0.6873', '0.8812', '0.8068', '0.6141', '0.1941', '0.0850', '0.1273', '0.2361', '-0.1627', '-0.0705', '0.0203', '-0.0751'], ['0.23280(4)', '0.1009(1)', '0.3648(1)', '0.1330(3)', '0.1638(4)', '0.0690(4)', '0.0366(3)', '0.0442(3)', '0.1579(4)', '0.3652(8)', '0.3703(5)', '0.3634(9)', '0.3616(5)', '0.4500(4)', '0.2796(4)', '0.1383(2)', '0.2596(2)', '0.3301(8)', '0.422(2)', '0.3129(2)', '0.6216(3)', '0.4773(3)', '0.4542(3)', '0.2135(3)', '0.2110(3)', '0.1855(3)', '0.2368(3)', '0.1550(3)', '0.0261(4)', '0.3161(9)', '0.6172(10)', '0.4780(10)', '0.448(1)', '0.1103(3)', '0.0264(3)', '0.2926(3)', '0.3414(3)', '0.4177(3)', '0.4410(3)', '0.3863(3)', '0.6435(3)', '0.5923(4)', '0.5147(3)', '0.4897(3)', '0.5459(4)', '0.1489(3)', '0.1388(4)', '0.1992(4)', '0.2679(4)', '0.2729(3)', '0.2658(5)', '0.2743(4)', '0.2234(4)', '0.1659(4)', '0.1624(4)', '0.0840(4)', '0.0364(4)', '0.0650(5)', '0.1361(5)', '0.1787(4)', '0.3844(8)', '0.4385(7)', '0.413(1)', '0.337(1)', '0.2914(6)', '0.540(1)', '0.483(1)', '0.509(1)', '0.592(1)', '0.6426(9)', '0.1472(4)', '0.1215(4)', '0.0534(3)', '0.0156(4)', '0.0464(4)', '0.2401', '0.3232', '0.4932', '0.4022', '0.6976', '0.6106', '0.4358', '0.5287', '0.1062', '0.0914', '0.3103', '0.3205', '0.3016', '0.3146', '0.1295', '0.1222', '0.0653', '-0.0144', '0.1561', '0.2281', '0.1946', '0.1498', '-0.0303', '0.0197', '0.4007', '0.4889', '0.3164', '0.2401', '0.5199', '0.4291', '0.6119', '0.6973'], ['0.40117(6)', '0.8268(2)', '0.3998(2)', '0.7162(5)', '0.9324(6)', '0.9373(7)', '0.7255(7)', '0.8187(5)', '0.8328(7)', '0.3652(9)', '0.5442(7)', '0.4399(10)', '0.2608(7)', '0.4391(9)', '0.3656(10)', '0.4663(3)', '0.5604(3)', '0.366(1)', '0.528(3)', '0.5293(4)', '1.2201(5)', '0.8164(5)', '0.9069(5)', '0.2528(4)', '-0.3136(5)', '-0.0076(5)', '-0.0665(5)', '0.2882(4)', '0.0259(8)', '0.309(1)', '-0.175(2)', '0.122(2)', '0.015(2)', '0.5067(5)', '0.4767(5)', '0.6289(5)', '0.7236(5)', '0.7195(5)', '0.6180(6)', '0.5248(5)', '1.1205(6)', '1.0139(5)', '1.0088(5)', '1.1085(6)', '1.2111(5)', '0.2159(6)', '0.1327(6)', '0.0791(5)', '0.1136(6)', '0.2004(6)', '-0.3056(7)', '-0.2250(7)', '-0.1496(6)', '-0.1563(7)', '-0.2394(7)', '0.2126(6)', '0.1286(6)', '0.1208(6)', '0.1982(8)', '0.2798(6)', '0.369(1)', '0.311(2)', '0.183(2)', '0.116(2)', '0.178(1)', '-0.225(1)', '-0.163(2)', '-0.050(2)', '0.005(2)', '-0.068(1)', '0.4679(7)', '0.4581(7)', '0.4910(6)', '0.5365(7)', '0.5414(7)', '0.6335', '0.7915', '0.6117', '0.4534', '1.1242', '0.9456', '1.1066', '1.2798', '0.2494', '0.1125', '0.0777', '0.2256', '-0.3576', '-0.2227', '-0.1050', '-0.2439', '0.2165', '0.0782', '0.1953', '0.3343', '0.4456', '0.4294', '0.5640', '0.5716', '0.4609', '0.3621', '0.0241', '0.1309', '-0.3033', '-0.2029', '0.0823', '-0.0328']]","['Ni', 'P', 'P', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'O', 'O', 'O', 'O', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","['11.702(8)', '17.859(10)', '10.582(7)', '105.25(4)', '90.43(6)', '83.17(5)']"
